;;;;standardní balení;;;;balení 1;;;;balení 2;;;;;nákup;;;;;;
druh;nazev;e-shop;poznamka;std.balení g;MOC sáčku;VOC sáčku;%;g;cena MO;cena VO;%;g;cena MO;cena VO;%;;kg;standard;vzorek;bal-1;bal-2;TAO %;obch.%
Bílé;Show Mee;;;30;130;95;36,9;200;700;560;25;500;1680;1370;22,7;;2070;73;10;429;1050;78,1;36,9
Bílé;Bai Mu Dan KING;;;30;220;162;35,9;200;1270;1010;25,8;500;3050;2490;22,5;;3800;124;10;775;1915;77,5;35,9
Bílé;Bai Xue Long;;;30;170;121;40,5;200;950;740;28,4;500;2230;1810;23,3;;2750;93;10;565;1390;82,8;40,5
Bílé;Bai Mu Dan - Yunnan;;;30;150;95;57,9;200;750;570;31,6;500;1800;1390;29,5;;2100;73;10;435;1065;105,5;57,9
Bílé;Pai Mu Tan King Ji Pin;;;25;530;407;30,3;100;1950;1600;21,9;250;4790;3960;21;;12100;313;10;1225;3040;69,4;30,3
Bílé;Arya Tara Silver Tips;;;30;250;150;66,7;200;1190;930;28;500;2850;2300;24;;3500;115;10;715;1765;117,4;66,7
Bílé;Schvitobauri Wild White Gruzie;;;30;200;146;37;200;1140;910;25,3;500;2720;2230;22;;3400;112;10;695;1715;78,6;37
Bílé;Koláč YUNAN BMD orijin 200g;;;200;590;455;29,7;;;;;1000;2790;2230;25,2;;1700;350;10;15;1715;68,6;29,7
Bílé;Koláč BMD/SM/YGB 100g;;ruzne druhy;100;450;273;64,9;;;;;;;;;;2000;210;10;15;15;114,3;64,9
Bílé;Mini lisovaný BMD 7g;;;7;60;39;53,9;;;;;;;;;;2850;30;10;15;15;100;53,9
Bílé;Čokoláda Gong mei (to znamena tips a dva listky);;už není!;100;850;585;45,3;;;;;;;;;;4400;450;10;15;15;88,9;45,3
Bílé;Assam GINGIA;;;25;280;203;38;;;;;;;;;;5400;145;10;15;15;93,2;27,5
Bílé;Chen Pi - Show Mei - Mandarinky;;;50;250;180;38,9;200;890;690;29;500;2100;1680;25;;2550;138;10;525;1290;81,2;38,9
Bílé;Yue Guang Bai - ARCHIV 2019;;máme 2kg;30;250;180;38,9;100;750;570;31,6;;;;;;3000;100;10;315;15;150;28
Bílé;Yue Guang Bai 2023;;;30;190;145;31,1;200;1020;800;27,5;500;2450;1970;24,4;;3000;100;10;615;1515;90;23,7
Zelené  Japonské ;Bancha Kagoshima;;;50;160;124;29,1;200;630;490;28,6;500;1490;1190;25,3;;1800;95;10;375;915;68,5;22,5
Zelené  Japonské ;Genmaicha;;;40;150;111;35,2;200;670;530;26,5;500;1650;1310;26;;2000;85;10;405;1005;76,5;26
Zelené  Japonské ;Gyokuro Yabukita/Saemidori (nejlevnější gyokuro);;;50;360;280;28,6;100;720;560;28,6;250;1690;1380;22,5;;4200;215;10;425;1055;67,5;22,3
Zelené  Japonské ;Gyokuro Matsu no Midori;;;50;460;364;26,4;100;890;730;22;250;2210;1800;22,8;;5500;280;10;555;1380;64,3;20,9
Zelené  Japonské ;Gyokuro Jin;;;50;420;319;31,7;100;820;640;28,2;250;2000;1570;27,4;;4800;245;10;485;1205;71,5;24,1
Zelené  Japonské ;Gyokuro Tezumi Ujihikari;;na zkoušku;50;890;644;38,2;;;;;;;;;;9800;495;10;5;5;79,8;27,7
Zelené  Japonské ;Gyokuro Fuuki;;;50;680;533;27,6;100;1340;1060;26,5;;;;;;8100;410;10;815;5;65,9;21,7
Zelené  Japonské ;Gyokuro Gokoh;;;50;590;455;29,7;100;1150;910;26,4;;;;;;6900;350;10;695;5;68,6;22,9
Zelené  Japonské ;Kabuse Yabukita Midori;;;50;430;332;29,6;100;850;660;28,8;250;2090;1640;27,5;;5000;255;10;505;1255;68,7;22,8
Zelené  Japonské ;Kabuse Yabukita Miyakonojo;;;50;350;260;34,7;100;690;520;32,7;250;1650;1280;29;;3900;200;10;395;980;75;25,8
Zelené  Japonské ;Hojicha Kyo Bancha;;;30;120;88;36,4;100;350;270;29,7;500;1590;1260;26,2;;1900;67;10;205;965;79,2;26,7
Zelené  Japonské ;Kukicha Nunosawa;;;50;270;208;29,9;200;1050;830;26,6;500;2490;2040;22,1;;3100;160;10;635;1565;68,8;23
Zelené  Japonské ;Kukicha Sakuraba;;;50;270;208;29,9;150;790;630;25,4;500;2490;2040;22,1;;3100;160;10;480;1565;68,8;23
Zelené  Japonské ;Kukicha Yuzu;;;50;270;208;29,9;150;790;630;25,4;500;2490;2040;22,1;;3100;160;10;480;1565;68,8;23
Zelené  Japonské ;Matcha základní;;;20;200;154;29,9;100;720;560;28,6;500;3290;2720;21;;4150;118;10;430;2090;69,5;23
Zelené  Japonské ;Matcha na čajový obřad - Hatsumukashi;;;40;780;592;31,8;200;3700;2950;25,5;;;;;;11250;455;10;2265;15;71,5;24,2
Zelené  Japonské ;Sencha Yabukita Miyazaki (zlatá);;možá už nebude;50;220;176;25;150;650;520;25;500;2100;1700;23,6;;2600;135;10;395;1305;63;20
Zelené  Japonské ;Sencha Yabukita Kagoshima (zelená);;;50;220;169;30,2;150;640;500;28;500;1990;1640;21,4;;2500;130;10;380;1255;69,3;23,2
Zelené  Japonské ;Sencha Fukamushi Shiran Saemidori Premium;;;50;490;312;57,1;150;1250;930;34,5;;;;;;4700;240;10;710;5;104,2;36,4
Zelené  Japonské ;Sencha Fukamushi Sakimidori;;;50;350;247;41,8;150;970;730;32,9;;;;;;3700;190;10;560;5;84,3;29,5
Zelené  Japonské ;Sencha Tsuyuhikari;;;50;320;247;29,6;150;930;730;27,4;;;;;;3700;190;10;560;5;68,5;22,9
Zelené  Japonské ;Sencha Chumushi Saemidori;;;50;290;241;20,4;150;870;710;22,6;;;;;;3600;185;10;545;5;56,8;16,9
Zelené  Japonské ;Sencha Harumidori;;;50;310;247;25,6;150;900;730;23,3;;;;;;3700;190;10;560;5;63,2;20,4
