;;; varianta 1;;;varianta 2;;;varianta 3;;;;nákup;;;
POVRCH;objem;rozměr;ks;cena;%;ks;cena;%;ks;cena;%;;1ks;varianta 1;varianta 2;varianta 3
papír;100ml;85 x 140, dno 50 mm;10;60;100;50;255;75;100;440;52;;2,91;30;146;291
papír;250ml;110 x 185, dno 65 mm;10;75;103;50;320;76;100;550;52;;3,63;37;182;363
papír;500ml;130 x 225, dno 70 mm;10;90;100;50;390;75;100;680;52;;4,48;45;224;448
papír;750ml;160 x 270, dno 80 mm;10;120;104;50;510;76;100;880;52;;5,81;59;291;581
papír;1000ml;180 x 290, dno 90 mm;10;135;105;50;570;75;100;990;52;;6,54;66;327;654
bílý matný;250ml;110 x 185, dno 65 mm;10;80;106;50;340;76;100;590;53;;3,88;39;194;388
bílý matný;500ml;130 x 225, dno 70 mm;10;100;109;50;415;76;100;720;53;;4,72;48;236;472
bílý matný;750ml;160 x 270, dno 80 mm;10;120;100;50;520;76;100;900;52;;5,93;60;297;593
bílý matný;1000ml;180 x 290, dno 90 mm;10;145;102;50;625;76;100;1080;52;;7,14;72;357;714
černý matný;250ml;110 x 185, dno 65 mm;10;80;106;50;340;76;100;590;53;;3,88;39;194;388
černý matný;500ml;130 x 225, dno 70 mm;10;100;109;50;415;76;100;720;53;;4,72;48;236;472
černý matný;750ml;160 x 270, dno 80 mm;10;120;100;50;520;76;100;900;52;;5,93;60;297;593
černý matný;1000ml;180 x 290, dno 90 mm;10;145;102;50;625;76;100;1080;52;;7,14;72;357;714
transparentní;100ml;85 x 140, dno 50 mm;10;55;112;50;225;76;100;390;53;;2,55;26;128;255
transparentní;250ml;110 x 185, dno 65 mm;10;70;113;50;290;77;100;500;53;;3,27;33;164;327
transparentní;500ml;130 x 225, dno 70 mm;10;85;103;50;360;75;100;620;51;;4,12;42;206;412
transparentní;750ml;160 x 270, dno 80 mm;10;100;105;50;425;76;100;730;51;;4,84;49;242;484
transparentní;1000ml;180 x 290, dno 90 mm;10;115;110;50;480;76;100;820;51;;5,45;55;273;545
